date,LastPx
20150123,59298.0
20150126,59036.0
20150127,58590.0
20150128,58050.0
20150129,57608.0
20150130,56156.0
20150202,56480.0
20150203,56798.0
20150204,57312.0
20150205,57558.0
20150206,58616.0
20150209,58718.0
20150210,58944.0
20150211,58852.0
20150212,58728.0
20150213,58944.0
20150216,59224.0
20150217,59200.0
20150225,58516.0
20150226,58702.0
20150227,59142.0
20150302,60120.0
20150303,59914.0
20150304,59934.0
20150305,59348.0
20150306,58942.0
20150309,58342.0
20150310,57856.0
20150311,57558.0
20150312,57618.0
20150313,57442.0
20150316,56802.0
20150317,56788.0
20150318,56396.0
20150319,57182.0
20150320,57044.0
20150323,56830.0
20150324,57144.0
20150325,57146.0
20150326,57176.0
20150327,57088.0
20150330,56810.0
20150331,56722.0
20150401,56626.0
20150402,56620.0
20150403,56618.0
20150407,57178.0
20150408,57054.0
20150409,56682.0
20150410,56524.0
20150413,56762.0
20150414,56652.0
20150415,56914.0
20150416,57182.0
20150417,57178.0
20150420,58108.0
20150421,58914.0
20150422,59070.0
20150423,59020.0
20150424,59160.0
20150427,59008.0
20150428,59038.0
20150429,58948.0
20150430,59040.0
20150504,59898.0
20150505,60422.0
20150506,61240.0
20150507,61178.0
20150508,60666.0
20150511,61084.0
20150512,61386.0
20150513,61612.0
20150514,61852.0
20150515,62012.0
20150518,61768.0
20150519,61304.0
20150520,60398.0
20150521,60270.0
20150522,60612.0
20150525,59848.0
20150526,60972.0
20150527,61516.0
20150528,62458.0
20150529,62668.0
20150601,63314.0
20150602,64116.0
20150603,64076.0
20150604,63216.0
20150605,63182.0
20150608,63580.0
20150609,62716.0
20150610,62704.0
20150611,62672.0
20150612,61920.0
20150615,61964.0
20150616,62128.0
20150617,62254.0
20150618,62022.0
20150619,61522.0
20150623,61922.0
20150624,61738.0
20150625,62344.0
20150626,62196.0
20150629,62002.0
20150630,61180.0
20150701,61988.0
20150702,61836.0
20150703,61980.0
20150706,60806.0
20150707,60386.0
20150708,59000.0
20150709,57700.0
20150710,58954.0
20150713,59184.0
20150714,59766.0
20150715,59700.0
20150716,59318.0
20150717,59316.0
20150720,59408.0
20150721,59960.0
20150722,60062.0
20150723,59392.0
20150724,59314.0
20150727,58780.0
20150728,58302.0
20150729,58416.0
20150730,58240.0
20150731,58460.0
20150803,57456.0
20150804,56828.0
20150805,56988.0
20150806,56336.0
20150807,55670.0
20150810,55914.0
20150811,56398.0
20150812,56566.0
20150813,56584.0
20150814,56388.0
20150817,56278.0
20150818,56164.0
20150819,55692.0
20150820,55224.0
20150821,54488.0
20150824,52996.0
20150825,51026.0
20150826,51232.0
20150827,50636.0
20150828,52240.0
20150831,52436.0
20150901,52718.0
20150902,52478.0
20150907,52040.0
20150908,52444.0
20150909,53112.0
20150910,53104.0
20150911,53648.0
20150914,53168.0
20150915,53570.0
20150916,52746.0
20150917,53322.0
20150918,52384.0
20150921,52072.0
20150922,52552.0
20150923,52380.0
20150924,52718.0
20150925,53796.0
20150928,54734.0
20150929,54532.0
20150930,54648.0
20151008,54804.0
20151009,54776.0
20151012,55864.0
20151013,56160.0
20151014,56664.0
20151015,56746.0
20151016,56656.0
20151019,56234.0
20151020,55400.0
20151021,55694.0
20151022,56222.0
20151023,56078.0
20151026,55302.0
20151027,54764.0
20151028,54506.0
20151029,54680.0
20151030,54472.0
20151102,54636.0
20151103,54272.0
20151104,54270.0
20151105,54590.0
20151106,53856.0
20151109,53764.0
20151110,53482.0
20151111,52758.0
20151112,52712.0
20151113,52794.0
20151116,52406.0
20151117,52452.0
20151118,52166.0
20151119,51916.0
20151120,51654.0
20151123,51848.0
20151124,52470.0
20151125,52858.0
20151126,53482.0
20151127,54082.0
20151130,53724.0
20151201,54540.0
20151202,54750.0
20151203,54868.0
20151204,55330.0
20151207,56074.0
20151208,55752.0
20151209,55340.0
20151210,55154.0
20151211,55442.0
20151214,55940.0
20151215,56450.0
20151216,55940.0
20151217,55354.0
20151218,54690.0
20151221,55038.0
20151222,55904.0
20151223,56256.0
20151224,56920.0
20151225,56600.0
20151228,56312.0
20151229,55988.0
20151230,57614.0
20151231,57982.0
20160104,57774.0
20160105,57492.0
20160106,56782.0
20160107,56498.0
20160108,56416.0
20160111,56226.0
20160112,56294.0
20160113,56140.0
20160114,56128.0
20160115,56280.0
20160118,56650.0
20160119,56902.0
20160120,56886.0
20160121,56328.0
20160122,56070.0
20160125,56154.0
20160126,56022.0
20160127,56442.0
20160128,56476.0
20160129,56342.0
20160201,56154.0
20160202,56462.0
20160203,56564.0
20160204,56756.0
20160205,56930.0
20160215,58698.0
20160216,58708.0
20160217,58334.0
20160218,58568.0
20160219,58476.0
20160222,59440.0
20160223,59218.0
20160224,58610.0
20160225,58450.0
20160226,58408.0
20160229,58550.0
20160301,58598.0
20160302,58976.0
20160303,58432.0
20160304,59450.0
20160307,59988.0
20160308,60436.0
20160309,60440.0
20160310,60990.0
20160311,61240.0
20160314,61832.0
20160315,62168.0
20160316,62146.0
20160317,62798.0
20160318,63704.0
20160321,63670.0
20160322,64616.0
20160323,64594.0
20160324,63722.0
20160325,64316.0
20160328,65288.0
20160329,65742.0
20160330,65546.0
20160331,65078.0
20160401,65718.0
20160405,66072.0
20160406,65300.0
20160407,65308.0
20160408,64808.0
20160411,64870.0
20160412,64902.0
20160413,65674.0
20160414,65922.0
20160415,65972.0
20160418,66118.0
20160419,67388.0
20160420,68694.0
20160421,69446.0
20160422,68590.0
20160425,68196.0
20160426,68126.0
20160427,67940.0
20160428,66322.0
20160429,66002.0
20160503,65960.0
20160504,65554.0
20160505,65844.0
20160506,64664.0
20160509,65526.0
20160510,65362.0
20160511,66300.0
20160512,65562.0
20160513,63642.0
20160516,62758.0
20160517,62798.0
20160518,62652.0
20160519,61976.0
20160520,61844.0
20160523,60688.0
20160524,60684.0
20160525,60778.0
20160526,61720.0
